Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|13|0.8461538461538461|62
Bullish Engulfing|Industry|HOSPITAL & MEDICAL SERVICE PLANS|11|0.8181818181818182|42
Bullish Engulfing|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|11|0.8181818181818182|59
Bullish Engulfing|Industry|WATER SUPPLY|11|0.8181818181818182|70
Bullish Engulfing|Industry|RAILROAD EQUIPMENT|10|0.8|12
Bullish Engulfing|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|25|0.8|173
Bullish Engulfing|Industry|NATURAL GAS DISTRIBUTION|22|0.7272727272727273|80
Bullish Engulfing|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|11|0.7272727272727273|114
Bullish Engulfing|Industry|TRUCKING (NO LOCAL)|21|0.7142857142857143|50
Bullish Engulfing|Industry|ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO|10|0.7|40
Bullish Engulfing|Industry|STATE COMMERCIAL BANKS|112|0.6964285714285714|90
Bullish Engulfing|Industry|NATIONAL COMMERCIAL BANKS|85|0.6941176470588235|139
Bullish Engulfing|Industry|AIR TRANSPORTATION, SCHEDULED|12|0.6666666666666666|20
Bullish Engulfing|Industry|BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS|12|0.6666666666666666|44
Bullish Engulfing|Industry|FIRE, MARINE & CASUALTY INSURANCE|51|0.6470588235294118|107
Bullish Engulfing|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|31|0.6451612903225806|30
Bullish Engulfing|Industry|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL|11|0.6363636363636364|37
Bullish Engulfing|Industry|RETAIL-EATING PLACES|38|0.631578947368421|56
Bullish Engulfing|Industry|LABORATORY ANALYTICAL INSTRUMENTS|13|0.6153846153846154|26
Bullish Engulfing|Industry|CHEMICALS & ALLIED PRODUCTS|13|0.6153846153846154|67
Bullish Engulfing|Industry|INSURANCE AGENTS, BROKERS & SERVICE|13|0.6153846153846154|109
Bullish Engulfing|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|15|0.6|28
Bullish Engulfing|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|20|0.6|32
Bullish Engulfing|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|12|0.5833333333333334|17
Bullish Engulfing|Industry|SERVICES-BUSINESS SERVICES, NEC|36|0.5833333333333334|49
Bullish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|12|0.5833333333333334|50
Bullish Engulfing|Industry|RETAIL-VARIETY STORES|12|0.5833333333333334|54
Bullish Engulfing|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|14|0.5714285714285714|13
Bullish Engulfing|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|14|0.5714285714285714|38
Bullish Engulfing|Industry|REAL ESTATE|14|0.5714285714285714|45
Bullish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|87|0.5632183908045977|19
Bullish Engulfing|Industry|STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS|11|0.5454545454545454|14
Bullish Engulfing|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|11|0.5454545454545454|22
Bullish Engulfing|Industry|PLASTICS PRODUCTS, NEC|11|0.5454545454545454|57
Bullish Engulfing|Industry|INDUSTRIAL ORGANIC CHEMICALS|11|0.5454545454545454|59
Bullish Engulfing|Industry|FOOD AND KINDRED PRODUCTS|11|0.5454545454545454|100
Bullish Engulfing|Industry|SEMICONDUCTORS & RELATED DEVICES|39|0.5384615384615384|22
Bullish Engulfing|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|13|0.5384615384615384|91
Bullish Engulfing|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|15|0.5333333333333333|59
Bullish Engulfing|Industry|OIL & GAS FIELD SERVICES, NEC|18|0.5|22
Bullish Engulfing|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|14|0.5|26
Bullish Engulfing|Industry|PERSONAL CREDIT INSTITUTIONS|12|0.5|29
Bullish Engulfing|Industry|PETROLEUM REFINING|34|0.5|34
Bullish Engulfing|Industry|ELECTRIC & OTHER SERVICES COMBINED|43|0.4883720930232558|89
Bullish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|123|0.4796747967479675|94
Bullish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|48|0.4791666666666667|28
Bullish Engulfing|Overall|All|4050|0.4622222222222222|67
Bullish Engulfing|Industry|NATURAL GAS TRANSMISSION|26|0.46153846153846156|12
Bullish Engulfing|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|13|0.46153846153846156|44
Bullish Engulfing|Industry|INVESTMENT ADVICE|40|0.45|42
Bullish Engulfing|Industry|DRILLING OIL & GAS WELLS|12|0.4166666666666667|7
Bullish Engulfing|Industry|SERVICES-EDUCATIONAL SERVICES|12|0.4166666666666667|25
Bullish Engulfing|Industry|CABLE & OTHER PAY TELEVISION SERVICES|10|0.4|43
Bullish Engulfing|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|13|0.38461538461538464|19
Bullish Engulfing|Industry|ELECTRIC SERVICES|55|0.38181818181818183|53
Bullish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|71|0.36619718309859156|17
Bullish Engulfing|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|27|0.3333333333333333|16
Bullish Engulfing|Industry|PIPE LINES (NO NATURAL GAS)|12|0.3333333333333333|16
Bullish Engulfing|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|18|0.3333333333333333|30
Bullish Engulfing|Industry|RETAIL-FAMILY CLOTHING STORES|16|0.3125|26
Bullish Engulfing|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|10|0.3|19
Bullish Engulfing|Industry|WATER TRANSPORTATION|11|0.2727272727272727|6
Bullish Engulfing|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|75|0.26666666666666666|59
Bullish Engulfing|Industry|SERVICES-HELP SUPPLY SERVICES|12|0.25|11
Bullish Engulfing|Industry|OPERATIVE BUILDERS|16|0.25|86
Bullish Engulfing|Industry|MEASURING & CONTROLLING DEVICES, NEC|11|0.18181818181818182|46
Bullish Engulfing|Industry|PUMPS & PUMPING EQUIPMENT|19|0.15789473684210525|34
